Date,Gold_Toman,USD_Toman,Ounce_Toman,Oil_Toman,SMA_7,SMA_30,EMA_12,EMA_26,MACD,MACD_Signal,RSI_14,Bollinger_Upper,Bollinger_Lower,Gold_Toman_Lag_1,Gold_Toman_Lag_2,Gold_Toman_Lag_3,Gold_Toman_Lag_7,USD_Toman_Lag_1,USD_Toman_Lag_2,USD_Toman_Lag_3,USD_Toman_Lag_7,Ounce_Toman_Lag_1,Ounce_Toman_Lag_2,Ounce_Toman_Lag_3,Ounce_Toman_Lag_7,Gold_PCT_Change,USD_PCT_Change,Target_NextDay_Price
2023-07-22,2272200.0,48336.0,95139751.16,3849479.01,2310785.714285714,2343523.3333333335,2321943.8165342067,2343894.654981548,-21950.83844734123,-18360.17824419198,19.717544812601844,2412272.4776653186,2279557.5223346814,2317700.0,2317700.0,2310700.0,2349300.0,48637.0,48637.0,48470.0,49261.0,95732209.47,96179667.5,95834881.63,96512148.79,-1.9631531259438284,-0.6188704073030848,2326900.0
2023-07-23,2326900.0,48614.0,95686938.57,3871618.93,2312000.0,2342470.0,2322706.306298175,2342635.791649582,-19929.48535140697,-18674.039665634977,38.107202680067005,2411722.5018418836,2277957.4981581164,2272200.0,2317700.0,2317700.0,2318400.0,48336.0,48637.0,48637.0,48370.0,95139751.16,95732209.47,96179667.5,94766501.64,2.4073585071736625,0.5751406818934157,2334100.0
2023-07-24,2334100.0,48837.0,95735173.48,4040773.28,2313128.5714285714,2343250.0,2324459.182252302,2342003.51078665,-17544.328534347937,-18448.09743937757,44.61608359836438,2403255.6603856757,2279824.3396143243,2326900.0,2272200.0,2317700.0,2326200.0,48614.0,48336.0,48637.0,48818.0,95686938.57,95139751.16,95732209.47,95644223.22,0.30942455627658294,0.4587155963302836,2332900.0
2023-07-25,2332900.0,49025.0,96191951.3,4100450.97,2316028.5714285714,2343356.6666666665,2325757.7695981017,2341329.1766543053,-15571.407056203578,-17872.75936274277,46.298915605846304,2397612.7614307944,2280437.2385692056,2334100.0,2326900.0,2272200.0,2312600.0,48837.0,48614.0,48336.0,48817.0,95735173.48,95686938.57,95139751.16,95310311.99,-0.05141167901975274,0.38495403075538004,2332900.0
2023-07-26,2332900.0,48899.0,96277242.29,4054704.99,2319200.0,2344426.6666666665,2326856.5742753167,2340704.7931984304,-13848.218923113775,-17067.851274816974,51.33298484056456,2390983.633908991,2281896.366091009,2332900.0,2334100.0,2326900.0,2310700.0,49025.0,48837.0,48614.0,48470.0,96191951.3,95735173.48,95686938.57,95834881.63,0.0,-0.2570117287098439,2326200.0
2023-07-29,2326200.0,48797.0,96076414.49,4046247.15,2320414.285714286,2344126.6666666665,2326755.562848345,2339630.364072621,-12874.801224275958,-16229.241264708773,44.61709211986682,2384246.2524452163,2283183.7475547837,2332900.0,2332900.0,2334100.0,2317700.0,48899.0,49025.0,48837.0,48637.0,96277242.29,96191951.3,95735173.48,96179667.5,-0.2871961935788092,-0.20859322276529646,2367800.0
2023-07-30,2367800.0,49366.0,97196718.61,4093428.63,2327571.4285714286,2345213.3333333335,2333070.0916409073,2341717.0037709456,-8646.912130038254,-14712.77543777467,54.241173773498396,2380557.517280286,2285282.482719714,2326200.0,2332900.0,2332900.0,2317700.0,48797.0,48899.0,49025.0,48637.0,96076414.49,96277242.29,96191951.3,95732209.47,1.7883243057346787,1.1660552902842403,2391800.0
2023-07-31,2391800.0,50070.0,98662935.0,4283989.08,2344657.1428571427,2346336.6666666665,2342105.462157691,2345426.855343468,-3321.393185777124,-12434.498987375162,58.77736472532011,2382879.4304673695,2283770.5695326305,2367800.0,2326200.0,2332900.0,2272200.0,49366.0,48797.0,48899.0,48336.0,97196718.61,96076414.49,96277242.29,95139751.16,1.0135991215474371,1.4260827290037748,2385720.0
2023-08-01,2385720.0,50009.0,97052463.86,4246264.37,2353060.0,2347204.0,2348815.391056508,2348411.5327254334,403.8583310744725,-9866.827523685237,65.49153166421208,2388565.867966351,2280876.132033649,2391800.0,2367800.0,2326200.0,2326900.0,50070.0,49366.0,48797.0,48614.0,98662935.0,97196718.61,96076414.49,95686938.57,-0.25420185634250636,-0.12182943878570329,2367040.0
2023-08-02,2367040.0,49867.0,96612327.02,4148934.25,2357765.714285714,2347735.3333333335,2351619.1770478142,2349791.419190216,1827.7578575983644,-7527.910447428518,58.94985974754558,2391096.0071701123,2280189.9928298877,2385720.0,2391800.0,2367800.0,2334100.0,50009.0,50070.0,49366.0,48837.0,97052463.86,98662935.0,97196718.61,95735173.48,-0.7829921365457793,-0.28394888919994754,2360400.0
2023-08-05,2360400.0,49632.0,96157038.01,4129382.25,2361694.285714286,2348135.3333333335,2352970.0728866123,2350577.239990941,2392.832895671483,-5543.761778808518,60.80470162748643,2393663.8903057193,2280882.1096942807,2367040.0,2385720.0,2391800.0,2332900.0,49867.0,50009.0,50070.0,49025.0,96612327.02,97052463.86,98662935.0,96191951.3,-0.28051912937677725,-0.47125353440150564,2351600.0
2023-08-06,2351600.0,49644.0,96180286.81,4130380.65,2364365.714285714,2348242.0,2352759.292442518,2350652.9999916116,2106.292450906243,-4013.750932865566,58.965366067514246,2394213.702158877,2280932.297841123,2360400.0,2367040.0,2385720.0,2332900.0,49632.0,49867.0,50009.0,48899.0,96157038.01,96612327.02,97052463.86,96277242.29,-0.3728181664124697,0.024177949709858204,2340700.0
2023-08-07,2340700.0,49350.0,95418225.0,4211528.82,2366437.1428571427,2346262.0,2350904.0166821303,2349915.740732974,988.2759491563775,-3013.3455564611777,54.956896551724135,2393538.895744638,2280747.104255362,2351600.0,2360400.0,2367040.0,2326200.0,49644.0,49632.0,49867.0,48797.0,96180286.81,96157038.01,96612327.02,96076414.49,-0.46351420309576064,-0.5922165820642977,2350700.0
