Date,Gold_Toman,USD_Toman,Ounce_Toman,Oil_Toman
2025-04-16,6871000.00,855950.00,2847403353.59,56364306.19
2025-04-15,6975400.00,877000.00,2822799857.18,56715588.39
2025-04-14,6733200.00,879800.00,2819583082.96,57081421.58
2025-04-13,6757900.00,880800.00,2838113716.99,57040609.88
2025-04-12,6643200.00,859900.00,2770769738.01,55687125.84
2025-04-11,7378200.00,962150.00,3100239683.02,62308836.06
2025-04-09,7639800.00,1008900.00,3083702850.00,66062775.39
2025-04-08,7543100.00,999700.00,2967509382.37,62801153.69
2025-04-07,7364400.00,997950.00,2945249883.73,64078368.59
2025-04-06,7823600.00,1055550.00,3179316600.00,69222970.93
2025-04-05,7986300.00,1045200.00,3148142400.00,68544217.91
2025-04-04,7710500.00,1025650.00,3089257800.00,67262128.88
2025-04-02,8238200.00,1027800.00,3227189119.63,77033606.86
2025-03-29,8181700.00,1027800.00,3172304700.00,75676911.18
2025-03-28,8281400.00,1038950.00,3206719175.00,76497885.65
2025-03-26,8114200.00,1021900.00,3087057610.21,75406001.94
2025-03-25,7994900.00,1019200.00,3081754990.23,74421980.58
2025-03-24,7938800.00,1017850.00,3066883934.40,74303050.00
2025-03-17,8109400.00,977800.00,2933400000.00,69492245.70
2025-03-16,7697800.00,943200.00,2824412400.00,66571057.73
2025-03-15,7379400.00,931300.00,2788777850.00,65731155.71
2025-03-14,6871300.00,911350.00,2729037575.00,64323084.67
2025-03-12,6811000.00,923050.00,2712936345.14,65490394.68
2025-03-11,6725800.00,926800.00,2699675629.49,64468205.74
2025-03-10,6674600.00,922850.00,2667959350.00,63935046.87
2025-03-09,6734100.00,923850.00,2683507049.89,65002086.56
2025-03-08,6718200.00,922100.00,2678423824.98,64878956.56
2025-03-07,6635800.00,912200.00,2649667295.46,64182392.56
2025-03-05,6378600.00,891700.00,2599573053.54,61794812.72
2025-03-04,6391500.00,884900.00,2574705126.42,62863296.81
2025-03-03,6435400.00,904800.00,2615052915.82,64801778.49
2025-03-02,6377400.00,907350.00,2573970524.30,66399873.28
2025-03-01,6511100.00,922300.00,2616380685.03,67493914.28
2025-02-28,6435800.00,921600.00,2614394925.00,67442688.28
2025-02-26,6630000.00,925200.00,2698623405.18,67104754.87
2025-02-25,6718400.00,925950.00,2689421775.00,67612865.89
2025-02-24,6580600.00,918300.00,2707056480.32,68670472.88
2025-02-23,6656800.00,913150.00,2682469529.17,67965754.78
2025-02-22,6741500.00,927400.00,2724330330.57,69026382.28
2025-02-21,6792300.00,935800.00,2749006171.39,69651594.29
2025-02-19,6903400.00,930700.00,2717085489.11,70770428.85
2025-02-18,6756500.00,921700.00,2702055810.01,69901724.62
2025-02-17,6582200.00,919950.00,2652767909.84,68757061.03
2025-02-16,6473500.00,908200.00,2618885608.69,67878866.06
2025-02-15,6509000.00,907050.00,2615569468.58,67792915.06
2025-02-14,6543000.00,906150.00,2612974228.49,67725649.06
2025-02-12,6550400.00,890600.00,2590755400.00,66955308.27
2025-02-11,6382700.00,883500.00,2573193750.00,68029500.00
2025-02-10,6394800.00,881500.00,2568955493.04,66879407.42
2025-02-08,6620100.00,913650.00,2619708689.61,68213112.35
2025-02-07,6327300.00,889600.00,2550750123.44,66417539.26
2025-02-05,5964200.00,854600.00,2454069443.46,63761706.52
2025-02-04,5902300.00,852700.00,2433008951.64,64975737.40
2025-02-03,5771200.00,845950.00,2397337622.39,64258361.23
2025-02-02,5704500.00,838650.00,2358703125.00,64374775.79
2025-02-01,5664500.00,840500.00,2363906250.00,64516781.80
2025-01-31,5676300.00,837650.00,2355890625.00,64298015.79
2025-01-29,5582800.00,835100.00,2312475491.55,63951959.53
2025-01-28,5534500.00,832300.00,2302807680.64,64494925.22
2025-01-26,5599000.00,839300.00,2330987930.98,65885050.00
2025-01-25,5610300.00,838800.00,2329599280.96,65845800.00
2025-01-24,5558600.00,833900.00,2315990510.72,65461150.00
2025-01-22,5516300.00,839050.00,2322154861.94,66284950.00
2025-01-21,5482400.00,825700.00,2274803500.00,65469753.76
2025-01-20,5411700.00,823350.00,2259519445.20,66518447.25
2025-01-19,5279700.00,810200.00,2223431899.56,65456058.74
2025-01-18,5247800.00,806700.00,2213826849.39,65173293.74
2025-01-17,5253800.00,805300.00,2209984829.32,65060187.74
2025-01-15,5229800.00,800700.00,2171898750.00,65681420.02
