open,low,high,close,change,percent,date1,date2
85.91,85.91,85.91,85.91,0.9,1.05%,2024/07/10,1403/04/20
86.81,86.81,86.81,86.81,1.34,1.54%,2024/07/09,1403/04/19
88.15,88.15,88.15,88.15,1.09,1.25%,2024/07/08,1403/04/18
87.06,87.06,87.06,87.06,0.37,0.42%,2024/07/04,1403/04/14
87.43,87.43,87.43,87.43,0.92,1.06%,2024/07/03,1403/04/13
86.51,86.51,86.51,86.51,0.08,0.09%,2024/07/02,1403/04/12
86.59,86.59,86.59,86.59,0.54,0.63%,2024/07/01,1403/04/11
86.05,86.05,86.05,86.05,0.59,0.69%,2024/06/28,1403/04/08
85.46,85.46,85.46,85.46,0.81,0.95%,2024/06/27,1403/04/07
85.98,85.98,86.27,86.27,0.27,0.31%,2024/06/26,1403/04/06
86,86,86,86,1.5,1.78%,2024/06/24,1403/04/04
84.50,84.50,84.50,84.50,1.44,1.73%,2024/06/21,1403/04/01
83.06,83.06,83.06,83.06,0.25,0.3%,2024/06/18,1403/03/29
82.81,82.81,82.81,82.81,0.45,0.55%,2024/06/14,1403/03/25
82.36,82.36,82.36,82.36,1.43,1.77%,2024/06/12,1403/03/23
80.93,80.93,80.93,80.93,0.56,0.7%,2024/06/11,1403/03/22
80.37,80.37,80.37,80.37,1.98,2.53%,2024/06/10,1403/03/21
78.39,78.39,78.39,78.39,0.22,0.28%,2024/06/06,1403/03/17
78.17,78.17,78.17,78.17,3.13,4%,2024/06/05,1403/03/16
81.30,81.30,81.30,81.30,0.63,0.77%,2024/06/04,1403/03/15
81.93,81.93,81.93,81.93,1.15,1.4%,2024/06/03,1403/03/14
83.08,83.08,83.08,83.08,0.92,1.11%,2024/05/31,1403/03/11
84,84,84,84,2.08,2.54%,2024/05/29,1403/03/09
81.92,81.92,81.92,81.92,0.49,0.6%,2024/05/27,1403/03/07
82.41,82.41,82.41,82.41,0.86,1.04%,2024/05/24,1403/03/04
83.27,83.27,83.27,83.27,0.31,0.37%,2024/05/23,1403/03/03
83.58,83.58,83.58,83.58,0.93,1.11%,2024/05/22,1403/03/02
84.51,84.51,84.51,84.51,1.21,1.45%,2024/05/21,1403/03/01
83.30,83.30,83.30,83.30,0.35,0.42%,2024/05/17,1403/02/28
82.95,82.95,82.95,82.95,0.13,0.16%,2024/05/16,1403/02/27
83.08,83.08,83.08,83.08,0.35,0.42%,2024/05/15,1403/02/26
83.43,83.43,83.43,83.43,0.86,1.03%,2024/05/14,1403/02/25
84.29,84.29,84.29,84.29,0.01,0.01%,2024/05/13,1403/02/24
84.30,84.30,84.30,84.30,-,-,2024/05/10,1403/02/21
83.60,83.60,83.60,83.60,0.14,0.17%,2024/05/08,1403/02/19
83.74,83.74,83.74,83.74,0.05,0.06%,2024/05/07,1403/02/18
83.79,83.79,83.79,83.79,0.44,0.53%,2024/05/06,1403/02/17
84.23,84.23,84.23,84.23,2.94,3.49%,2024/05/03,1403/02/14
87.17,87.17,87.17,87.17,1.55,1.78%,2024/05/02,1403/02/13
88.72,88.72,88.72,88.72,0.47,0.53%,2024/04/30,1403/02/11
89.19,89.19,89.19,89.19,0.8,0.91%,2024/04/29,1403/02/10
88.39,88.39,88.39,88.39,-,-,2024/04/26,1403/02/07
88.45,88.45,88.45,88.45,1.94,2.24%,2024/04/25,1403/02/06
86.51,86.51,86.51,86.51,1.01,1.17%,2024/04/23,1403/02/04
87.52,87.52,87.52,87.52,0.17,0.19%,2024/04/22,1403/02/03
87.35,87.35,87.35,87.35,2.29,2.62%,2024/04/19,1403/01/31
90.18,89.64,90.18,89.64,0.54,0.6%,2024/04/18,1403/01/30
90.18,90.18,90.18,90.18,0.61,0.68%,2024/04/17,1403/01/29
89.57,89.57,89.57,89.57,1.2,1.34%,2024/04/16,1403/01/28
90.77,90.77,90.77,90.77,0.15,0.17%,2024/04/15,1403/01/27
90.62,90.62,90.62,90.62,0.23,0.25%,2024/04/12,1403/01/24
90.39,90.39,90.39,90.39,0.1,0.11%,2024/04/11,1403/01/23
90.29,90.29,90.29,90.29,0.83,0.92%,2024/04/09,1403/01/21
91.12,91.12,91.12,91.12,1.54,1.72%,2024/04/08,1403/01/20
89.58,89.58,89.58,89.58,0.61,0.69%,2024/04/04,1403/01/16
88.97,88.97,88.97,88.97,1.64,1.88%,2024/04/03,1403/01/15
87.33,87.33,87.33,87.33,2.35,2.77%,2024/04/02,1403/01/14
84.98,84.98,84.98,84.98,0.94,1.11%,2024/03/28,1403/01/09
85.92,85.92,85.92,85.92,0.49,0.57%,2024/03/27,1403/01/08
85.43,85.43,85.43,85.43,0.55,0.65%,2024/03/26,1403/01/07
84.88,84.88,84.88,84.88,0.68,0.8%,2024/03/25,1403/01/06
85.56,85.56,85.56,85.56,0.47,0.55%,2024/03/22,1403/01/03
86.71,86.03,86.71,86.03,1.29,1.52%,2024/03/19,1402/12/29
84.74,84.74,84.74,84.74,2.07,2.5%,2024/03/18,1402/12/28
82.67,82.67,82.67,82.67,1.6,1.94%,2024/03/14,1402/12/24
82.61,82.61,82.61,82.61,0.35,0.43%,2024/03/13,1402/12/23
82.26,82.26,82.26,82.26,0.82,1%,2024/03/12,1402/12/22
83.08,83.08,83.08,83.08,0.37,0.45%,2024/03/11,1402/12/21
82.71,82.71,82.71,82.71,0.03,0.04%,2024/03/08,1402/12/18
82.31,82.31,82.68,82.68,0.7,0.85%,2024/03/06,1402/12/16
82.65,82.65,83.38,83.38,0.73,0.88%,2024/03/04,1402/12/14
82.01,82.01,82.01,82.01,0.01,0.01%,2024/03/01,1402/12/11
82.02,82.02,82.02,82.02,1.19,1.47%,2024/02/29,1402/12/10
80.83,80.83,80.83,80.83,1.4,1.73%,2024/02/27,1402/12/08
82.23,82.23,82.23,82.23,0.67,0.81%,2024/02/26,1402/12/07
82.90,82.90,82.90,82.90,0.91,1.11%,2024/02/23,1402/12/04
81.99,81.99,81.99,81.99,0.83,1.01%,2024/02/22,1402/12/03
82.82,82.82,82.82,82.82,0.07,0.08%,2024/02/21,1402/12/02
82.89,82.89,82.89,82.89,0.26,0.31%,2024/02/20,1402/12/01
82.63,82.63,82.63,82.63,0.11,0.13%,2024/02/19,1402/11/30
82.52,82.52,82.52,82.52,1.09,1.34%,2024/02/15,1402/11/26
81.43,81.43,81.43,81.43,0.02,0.02%,2024/02/13,1402/11/24
81.45,81.45,81.45,81.45,1.3,1.62%,2024/02/12,1402/11/23
80.15,80.15,80.15,80.15,1.29,1.64%,2024/02/09,1402/11/20
78.86,78.86,78.86,78.86,0.5,0.64%,2024/02/08,1402/11/19
78.36,78.36,78.36,78.36,0.89,1.15%,2024/02/07,1402/11/18
78.61,77.47,78.61,77.47,2.99,3.86%,2024/02/05,1402/11/16
83,80.46,83,80.46,-,-,2024/02/04,1402/11/15
80.46,80.46,80.46,80.46,2.53,3.14%,2024/02/02,1402/11/13
82.94,82.94,82.99,82.99,1.2,1.45%,2024/01/31,1402/11/11
84.19,84.19,84.19,84.19,1.19,1.43%,2024/01/30,1402/11/10
83,83,83,83,1.02,1.24%,2024/01/29,1402/11/09
81.98,81.98,81.98,81.98,0.93,1.15%,2024/01/26,1402/11/06
81.05,81.05,81.05,81.05,1.35,1.69%,2024/01/25,1402/11/05
79.70,79.70,79.70,79.70,0.57,0.72%,2024/01/23,1402/11/03
80.27,80.27,80.27,80.27,0.88,1.11%,2024/01/22,1402/11/02
79.39,79.39,79.39,79.39,1.01,1.29%,2024/01/19,1402/10/29
78.38,78.38,78.38,78.38,0.78,1%,2024/01/18,1402/10/28
79.16,79.16,79.16,79.16,0.01,0.01%,2024/01/17,1402/10/27
79.17,79.17,79.17,79.17,-,-,2024/01/16,1402/10/26
