open,low,high,close,change,percent,date1,date2
23468000,23075000,23885000,23278000,187000,0.80%,13/06/2023,1402/03/23
23472000,23297000,23541000,23403000,58000,0.25%,18/09/2023,1402/06/27
23474500,23063000,23493000,23456000,178000,0.76%,11/07/2023,1402/04/20
23480700,22561900,23760100,22928800,275200,1.20%,07/03/2023,1401/12/16
23481000,21750000,23481000,23204000,268000,1.15%,06/03/2023,1401/12/15
23484000,23484000,23484000,23484000,-,-,28/06/2023,1402/04/07
23486000,23486000,23486000,23486000,-,-,13/09/2023,1402/06/22
23486000,23486000,23486000,23486000,-,-,08/06/2023,1402/03/18
23493000,23493000,23493000,23493000,-,-,13/07/2023,1402/04/22
23493000,23306000,23532000,23484000,27000,0.11%,27/06/2023,1402/04/06
23495000,23357000,23504000,23486000,129000,0.55%,12/09/2023,1402/06/21
23495000,23495000,23495000,23495000,-,-,10/08/2023,1402/05/19
23512500,23456000,23530000,23495000,12000,0.05%,09/08/2023,1402/05/18
23516000,23336000,23805000,23585000,508000,2.20%,17/06/2023,1402/03/27
23530000,23438000,23574000,23486000,92000,0.39%,09/07/2023,1402/04/18
23534000,23534000,23534000,23534000,91000,0.39%,07/09/2023,1402/06/16
23538000,23444000,23620000,23456000,78000,0.33%,09/09/2023,1402/06/18
23539000,23440000,23585000,23493000,37000,0.16%,12/07/2023,1402/04/21
23546000,23407000,23585000,23507000,100000,0.43%,08/08/2023,1402/05/17
23581000,23098000,23581000,23107000,478000,2.07%,18/06/2023,1402/03/28
23588000,23306000,23735000,23597000,16000,0.07%,25/06/2023,1402/04/04
23590000,23306000,23770000,23511000,86000,0.37%,26/06/2023,1402/04/05
23591000,23509000,23666000,23516000,88000,0.37%,06/08/2023,1402/05/15
23594500,23426000,23611000,23578000,259000,1.10%,08/07/2023,1402/04/17
23625000,23625000,23625000,23625000,-,-,05/09/2023,1402/06/14
23666000,23539000,23728000,23604000,66400,0.28%,05/08/2023,1402/05/14
23666000,23103000,23678000,23486000,383000,1.63%,07/06/2023,1402/03/17
23678000,23604000,23731000,23625000,83000,0.35%,04/09/2023,1402/06/13
23701000,23539000,23978000,23807000,39000,0.16%,04/07/2023,1402/04/13
23703000,23244000,23728000,23678000,416000,1.79%,30/07/2023,1402/05/08
23710000,23594000,23786000,23634000,340000,1.46%,02/09/2023,1402/06/11
23754000,23604000,23800000,23708000,74000,0.31%,03/09/2023,1402/06/12
23798000,22853000,23798000,22865000,293000,1.28%,26/09/2023,1402/07/04
23811100,23420500,24305700,23857200,60800,0.25%,02/08/2023,1402/05/11
23823000,23618000,23902000,23846000,14000,0.06%,03/07/2023,1402/04/12
23837000,23837000,23837000,23837000,-,-,06/07/2023,1402/04/15
23861000,23781000,23885000,23837000,30000,0.13%,05/07/2023,1402/04/14
23902000,23405200,24081200,23670400,186800,0.79%,03/08/2023,1402/05/12
23918000,23918000,23918000,23918000,-,-,01/08/2023,1402/05/10
23927000,23927000,24280000,24222000,191000,0.79%,21/11/2023,1402/08/30
23965000,23645000,24012000,23918000,240000,1.01%,31/07/2023,1402/05/09
23966000,23964000,24516000,24259000,79200,0.33%,21/10/2023,1402/07/29
23968000,23968000,24680000,24375000,402000,1.68%,17/10/2023,1402/07/25
23968000,23968000,23968000,23968000,-,-,12/10/2023,1402/07/20
23975000,23777000,24114000,23968000,17000,0.07%,11/10/2023,1402/07/19
23989000,23560000,23989000,23832000,169000,0.71%,02/07/2023,1402/04/11
24005000,23842000,24232000,24001000,517000,2.20%,01/07/2023,1402/04/10
24049000,23324000,24049000,23468000,607000,2.59%,15/10/2023,1402/07/23
24089000,24079000,24192000,24130000,39000,0.16%,13/11/2023,1402/08/22
24109000,24068000,24354000,24331000,270000,1.12%,24/10/2023,1402/08/02
24123910,23812000,24123910,23985000,14000,0.06%,10/10/2023,1402/07/18
24128000,24031000,24250000,24075000,107000,0.45%,14/10/2023,1402/07/22
24132000,24056000,24225000,24169000,39000,0.16%,14/11/2023,1402/08/23
24155000,24142000,24276000,24222000,78000,0.32%,23/11/2023,1402/09/02
24163600,23900300,24487300,24139300,119700,0.50%,22/10/2023,1402/07/30
24181000,24165000,24379000,24222000,53000,0.22%,15/11/2023,1402/08/24
24216000,24135000,24303000,24144000,78000,0.32%,22/11/2023,1402/09/01
24227000,24049000,24246000,24091000,145000,0.60%,12/11/2023,1402/08/21
24229000,24165000,24472000,24340000,94000,0.39%,18/11/2023,1402/08/27
24232000,23876000,24232000,24031000,210000,0.87%,20/11/2023,1402/08/29
24250000,24149000,24303000,24246000,24000,0.10%,16/11/2023,1402/08/25
24252000,24033000,24252000,24061000,78300,0.33%,23/10/2023,1402/08/01
24287000,24276000,24601000,24511000,289000,1.19%,25/11/2023,1402/09/04
24303000,23444000,24303000,23581000,229000,0.98%,24/06/2023,1402/04/03
24310000,24303000,24643000,24592000,261000,1.07%,25/10/2023,1402/08/03
24326000,24209000,24361000,24241000,99000,0.41%,19/11/2023,1402/08/28
24338000,24333000,24435000,24375000,26000,0.11%,09/11/2023,1402/08/18
24363700,23691300,24872900,24179800,232200,0.96%,19/10/2023,1402/07/27
24370000,24015000,24458000,24412000,37000,0.15%,18/10/2023,1402/07/26
24375000,24370000,24573000,24444000,62000,0.25%,12/12/2023,1402/09/21
24391000,24188000,24391000,24236000,139000,0.57%,11/11/2023,1402/08/20
24393000,24363000,24460000,24377000,30000,0.12%,27/11/2023,1402/09/06
24405000,24312000,24499000,24349000,33000,0.14%,08/11/2023,1402/08/17
24435000,24435000,24670000,24569000,254000,1.03%,16/12/2023,1402/09/25
24439000,24412000,24945000,24534000,88000,0.36%,08/10/2023,1402/07/16
24453000,24400000,24523000,24493000,49000,0.20%,13/12/2023,1402/09/22
24481000,24400000,24562000,24543000,67000,0.27%,19/12/2023,1402/09/28
24499000,24421000,24885000,24823000,330000,1.35%,14/12/2023,1402/09/23
24509000,24493000,24587000,24541000,28000,0.11%,10/12/2023,1402/09/19
24518000,24352000,24553000,24407000,104000,0.43%,26/11/2023,1402/09/05
24526000,24302800,24979300,24576300,33300,0.14%,20/12/2023,1402/09/29
24538100,24047300,24922400,24575900,198900,0.82%,28/11/2023,1402/09/07
24539000,24363000,24553000,24382000,159000,0.65%,11/12/2023,1402/09/20
24539000,23800000,24703000,23999000,535000,2.23%,09/10/2023,1402/07/17
24543000,24421000,24696000,24638000,61700,0.25%,21/12/2023,1402/09/30
24555000,24555000,24555000,24555000,136000,0.55%,25/12/2023,1402/10/04
24566000,24560000,24816000,24751000,175100,0.71%,29/11/2023,1402/09/08
24578000,24571000,24885000,24765000,173000,0.70%,26/10/2023,1402/08/04
24585000,23839000,24590000,23869000,778000,3.26%,06/06/2023,1402/03/16
24606000,24453000,24608000,24476000,93000,0.38%,18/12/2023,1402/09/27
24617000,24603000,24772000,24756000,83000,0.34%,07/12/2023,1402/09/16
24636000,24633000,24834000,24696000,37000,0.15%,05/11/2023,1402/08/14
24647000,24647000,24647000,24647000,393000,1.59%,03/06/2023,1402/03/13
24661000,24622000,24749000,24654000,42000,0.17%,06/11/2023,1402/08/15
24670000,24356000,24680000,24382000,272000,1.12%,07/11/2023,1402/08/16
24726000,24721000,24970000,24883000,245000,0.99%,23/12/2023,1402/10/02
24751000,24439000,24751000,24513000,243000,0.99%,09/12/2023,1402/09/18
24756000,24756000,25084000,25060000,295000,1.19%,27/12/2023,1402/10/06
24767000,24758000,24934000,24790000,39000,0.16%,30/11/2023,1402/09/09
24783000,24691000,25543000,25287000,522000,2.11%,28/10/2023,1402/08/06
24788000,24753000,24982000,24765000,210000,0.86%,26/12/2023,1402/10/05
24837000,24818000,25187000,24961000,104000,0.42%,31/10/2023,1402/08/09
24853000,24740000,24964000,24954000,25000,0.10%,05/12/2023,1402/09/14
24878000,24426000,25017000,24899000,30000,0.12%,09/04/2023,1402/01/20
24887000,24659000,24890000,24691000,192000,0.78%,24/12/2023,1402/10/03
24947000,24509000,24947000,24673000,281000,1.14%,06/12/2023,1402/09/15
24950000,24703000,24966000,24857000,109000,0.44%,30/10/2023,1402/08/08
24959000,24703000,25097000,25040000,90000,0.36%,31/05/2023,1402/03/10
24964000,24910000,25139000,24987000,26000,0.10%,01/11/2023,1402/08/10
24966000,24488000,25144000,24950000,7000,0.03%,30/05/2023,1402/03/09
24970000,24841000,25411000,25268000,309000,1.24%,28/05/2023,1402/03/07
24989000,24968000,25234000,25167000,180000,0.72%,02/11/2023,1402/08/11
24998000,24998000,24998000,24998000,-,-,18/05/2023,1402/02/28
25003000,24797000,25037000,24959000,312000,1.25%,27/05/2023,1402/03/06
25024000,25024000,25201000,25155000,136000,0.54%,30/12/2023,1402/10/09
25040000,25040000,25040000,25040000,-,-,01/06/2023,1402/03/11
25047000,25047000,25264000,25252000,203000,0.81%,01/01/2024,1402/10/11
25049000,24918700,25330100,25129100,112100,0.45%,02/03/2023,1401/12/11
25058000,25051000,25312000,25254000,464000,1.87%,02/12/2023,1402/09/11
25067000,25003000,25109000,25019000,41000,0.16%,28/12/2023,1402/10/07
25067000,25060000,26617000,26406000,2189000,9.04%,18/03/2023,1401/12/27
25074000,24356000,25086000,25017000,69000,0.28%,01/03/2023,1401/12/10
25130000,24910000,25605000,25501000,28700,0.11%,15/04/2023,1402/01/26
25148000,23135000,25155000,23433000,1696100,7.24%,04/03/2023,1401/12/13
25157000,24901000,25167000,24998000,319900,1.28%,17/05/2023,1402/02/27
25162000,24576000,25162000,24659000,508000,2.06%,04/11/2023,1402/08/13
25180000,25155000,25617000,25501000,602000,2.42%,10/04/2023,1402/01/21
25208000,25012000,25217000,25049000,106000,0.42%,31/12/2023,1402/10/10
25232000,24709600,25690000,25317900,576100,2.28%,15/05/2023,1402/02/25
25238000,25176000,25998000,25894000,660000,2.62%,14/05/2023,1402/02/24
25243000,25243000,25527000,25451000,199000,0.79%,02/01/2024,1402/10/12
25271000,25271000,25271000,25271000,-,-,25/05/2023,1402/03/04
25273000,24809000,25312000,24966000,321000,1.29%,29/10/2023,1402/08/07
25280000,24853000,25280000,24957000,311000,1.25%,29/05/2023,1402/03/08
25284000,25139000,25312000,25236000,18000,0.07%,03/12/2023,1402/09/12
25312000,24869000,25351000,24929000,307000,1.23%,04/12/2023,1402/09/13
25340000,24319000,25511000,25086000,964300,3.84%,28/02/2023,1401/12/09
25368000,24959000,25368000,25271000,90000,0.36%,24/05/2023,1402/03/03
25411500,25149700,25974300,25542700,41700,0.16%,11/04/2023,1402/01/22
25446000,25344000,25582000,25504000,53000,0.21%,03/01/2024,1402/10/13
25481000,24728000,25485000,24869000,618000,2.49%,08/04/2023,1402/01/19
25520000,25520000,26056000,25642000,644000,2.58%,20/05/2023,1402/02/30
25533000,25043000,25982000,25487000,3000,0.01%,06/04/2023,1402/01/17
25541800,25243000,25907000,25472300,70400,0.28%,13/04/2023,1402/01/24
25551500,25364900,26143600,25933600,395000,1.52%,28/03/2023,1402/01/08
25624000,25416000,25707000,25677000,30000,0.12%,06/01/2024,1402/10/16
25624000,25608000,25820000,25647000,143000,0.56%,04/01/2024,1402/10/14
25647000,25294000,25998000,25361000,272000,1.07%,23/05/2023,1402/03/02
25647000,25647000,26032000,25774000,132000,0.51%,21/05/2023,1402/02/31
25663000,25640000,25956000,25947000,289000,1.13%,09/01/2024,1402/10/19
25671600,25245400,26802700,26323700,82300,0.31%,19/03/2023,1401/12/28
25682000,25361000,25797000,25545000,755000,2.96%,17/04/2023,1402/01/28
25691000,25617000,25882000,25820000,143000,0.56%,07/01/2024,1402/10/17
25695000,25141000,25975000,25234000,1191000,4.72%,13/05/2023,1402/02/23
25707500,25388700,26721500,26370800,47100,0.18%,25/03/2023,1402/01/05
25725000,25645000,25815000,25730000,3500,0.01%,25/04/2023,1402/02/05
25753000,24903000,25848000,25827000,182200,0.71%,03/04/2023,1402/01/14
25754800,25481700,26641900,26328600,310000,1.19%,27/03/2023,1402/01/07
25755400,25466900,26277000,26009200,292300,1.12%,30/03/2023,1402/01/10
25777200,25292500,26425400,26050300,309400,1.20%,27/02/2023,1401/12/08
25778000,25395000,25963000,25633000,141000,0.55%,22/05/2023,1402/03/01
25783800,25654800,26711800,26301500,367900,1.42%,29/03/2023,1402/01/09
