Date,Gold_IRR,USD_IRR,Ounce_USD,Oil_USD,SMA_7,SMA_30,MACD,MACD_Signal,RSI_14,Bollinger_Upper,Bollinger_Lower,Gold_LogRet,USD_LogRet,Ounce_LogRet,Oil_LogRet,Gold_LogRet_Lag_1,USD_LogRet_Lag_1,Ounce_LogRet_Lag_1,Gold_LogRet_Lag_2,USD_LogRet_Lag_2,Ounce_LogRet_Lag_2,Gold_LogRet_Lag_3,USD_LogRet_Lag_3,Ounce_LogRet_Lag_3,Gold_LogRet_Lag_7,USD_LogRet_Lag_7,Ounce_LogRet_Lag_7,Target_Next_LogRet,Target_Next_Price
2022-01-26,12324000.0,277900.0,1829.9000244140625,89.95999908447266,12318142.857142856,12469500.0,-84403.18646456487,-132462.66191522448,52.52890173410405,12758783.545474686,11709816.454525314,-0.00461445870413292,-0.0024439345114273484,-0.01238267432546163,0.0197581885017494,-0.0012914684174553884,0.002839838707784129,0.005954976611818967,-0.0015314555848531097,-0.006673388715495798,-0.0004343134744608853,0.00541087530517759,0.007033437686044913,0.0,0.01523950049402621,0.004779548292724139,-0.004898813894231101,0.0,12324000.0
2022-01-27,12324000.0,277710.0,1793.300048828125,89.33999633789062,12338714.285714285,12446333.333333334,-75469.2720334474,-121063.98393886907,58.67635189669088,12702828.492494587,11731371.507505413,0.0,-0.0006839330012283926,-0.02020380869292505,-0.006915841980796554,-0.00461445870413292,-0.0024439345114273484,-0.01238267432546163,-0.0012914684174553884,0.002839838707784129,0.005954976611818967,-0.0015314555848531097,-0.006673388715495798,-0.0004343134744608853,0.006589809679055583,0.001454863135790337,0.016852139555948425,-0.0038209875357186327,12277000.0
2022-01-29,12277000.0,278820.0,1793.300048828125,89.33999633789062,12352571.42857143,12421600.0,-71359.00549016707,-111122.98824912868,50.08928571428571,12639844.658148482,11756655.341851518,-0.0038209875357186327,0.003989008577712413,0.0,0.0,0.0,-0.0006839330012283926,-0.02020380869292505,-0.00461445870413292,-0.0024439345114273484,-0.01238267432546163,-0.0012914684174553884,0.002839838707784129,0.005954976611818967,0.0,0.0003997165699398631,-0.0003255782478899052,-0.009000224393390861,12167000.0
2022-01-30,12167000.0,276910.0,1793.300048828125,89.33999633789062,12326571.42857143,12394533.333333334,-76100.43192503229,-104118.47698430941,45.609756097560975,12559888.21907303,11787911.78092697,-0.009000224393390861,-0.006873868679503834,0.0,0.0,-0.0038209875357186327,0.003989008577712413,0.0,0.0,-0.0006839330012283926,-0.02020380869292505,-0.00461445870413292,-0.0024439345114273484,-0.01238267432546163,0.013779825853934469,0.008825607978762641,0.0,0.00016436554935104483,12169000.0
2022-01-31,12169000.0,274600.0,1795.0,91.20999908447266,12291285.714285715,12369000.0,-78788.43916687742,-99052.46942082302,60.27837259100642,12522366.784389073,11868633.215610927,0.00016436554935104483,-0.008377050311567538,0.0009474967399160674,0.020715255221221477,-0.009000224393390861,-0.006873868679503834,0.0,-0.0038209875357186327,0.003989008577712413,0.0,0.0,-0.0006839330012283926,-0.02020380869292505,0.00541087530517759,0.007033437686044913,0.0,-0.006678509384224601,12088000.0
2022-02-01,12088000.0,272540.0,1800.300048828125,89.16000366210938,12247142.857142856,12342833.333333334,-86458.0922575891,-96533.59398817625,63.045912653975364,12516522.135153068,11884877.864846932,-0.006678509384224601,-0.0075301010121959465,0.002948322863412963,-0.022731980563366935,0.00016436554935104483,-0.008377050311567538,0.0009474967399160674,-0.009000224393390861,-0.006873868679503834,0.0,-0.0038209875357186327,0.003989008577712413,0.0,-0.0015314555848531097,-0.006673388715495798,-0.0004343134744608853,0.001735752801790876,12109000.0
2022-02-02,12109000.0,272810.0,1809.199951171875,89.47000122070312,12208285.714285715,12317200.0,-89806.5886419639,-95188.19291893378,61.267605633802816,12510773.99182773,11876126.00817227,0.001735752801790876,0.0009901898672804255,0.0049313868291021275,0.003470837612095314,-0.006678509384224601,-0.0075301010121959465,0.002948322863412963,0.00016436554935104483,-0.008377050311567538,0.0009474967399160674,-0.009000224393390861,-0.006873868679503834,0.0,-0.0012914684174553884,0.002839838707784129,0.005954976611818967,0.0,12109000.0
2022-02-03,12109000.0,272650.0,1803.0,91.11000061035156,12177571.42857143,12288333.333333334,-91406.61756257713,-94431.87784766246,50.672645739910315,12510773.99182773,11876126.00817227,0.0,-0.0005866608168846482,-0.0034327874115770577,0.01816418722161053,0.001735752801790876,0.0009901898672804255,0.0049313868291021275,-0.006678509384224601,-0.0075301010121959465,0.002948322863412963,0.00016436554935104483,-0.008377050311567538,0.0009474967399160674,-0.00461445870413292,-0.0024439345114273484,-0.01238267432546163,-0.02178990080673155,11848000.0
2022-02-05,11848000.0,267600.0,1803.0,91.11000061035156,12109571.42857143,12250766.666666666,-112439.04343983531,-98033.31096609702,30.470588235294116,12522097.834579783,11822102.165420217,-0.02178990080673155,-0.01869559311799716,0.0,0.0,0.0,-0.0005866608168846482,-0.0034327874115770577,0.001735752801790876,0.0009901898672804255,0.0049313868291021275,-0.006678509384224601,-0.0075301010121959465,0.002948322863412963,0.0,-0.0006839330012283926,-0.02020380869292505,-0.006095514978977286,11776000.0
2022-02-06,11776000.0,264600.0,1803.0,91.11000061035156,12038000.0,12212033.333333334,-133379.67290561087,-105102.5833539998,28.091106290672442,12535323.740265347,11758976.259734653,-0.006095514978977286,-0.011274076573218108,0.0,0.0,-0.02178990080673155,-0.01869559311799716,0.0,0.0,-0.0005866608168846482,-0.0034327874115770577,0.001735752801790876,0.0009901898672804255,0.0049313868291021275,-0.0038209875357186327,0.003989008577712413,0.0,-0.018945318260176418,11555000.0
